,y2_hhid,sourceid,ag12a_0b,ag12a_01,ag12a_02_1,ag12a_02_2,ag12a_02_3,ag12a_02_4,ag12a_02_5,ag12a_02_6,ag12a_03,ag12a_04,ag12a_05,ag12a_06
0,0101014002017101,GOVERNMENT EXTENSION,SERIKALI,YES,YES,NO,YES,NO,YES,YES,AVERAGE,NO,,1.0
1,0101014002017101,NGO,NGO,NO,,,,,,,,,,
2,0101014002017101,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
3,0101014002017101,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
4,0101014002017101,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
5,0101014002028401,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
6,0101014002028401,NGO,NGO,NO,,,,,,,,,,
7,0101014002028401,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
8,0101014002028401,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
9,0101014002028401,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
10,0101014002029701,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
11,0101014002029701,NGO,NGO,NO,,,,,,,,,,
12,0101014002029701,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
13,0101014002029701,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
14,0101014002029701,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
15,0101014002040901,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
16,0101014002040901,NGO,NGO,NO,,,,,,,,,,
17,0101014002040901,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
18,0101014002040901,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
19,0101014002040901,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
20,0101014002047101,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
21,0101014002047101,NGO,NGO,NO,,,,,,,,,,
22,0101014002047101,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
23,0101014002047101,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
24,0101014002047101,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
25,0101014002055101,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
26,0101014002055101,NGO,NGO,NO,,,,,,,,,,
27,0101014002055101,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
28,0101014002055101,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
29,0101014002055101,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
30,0101014002076101,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
31,0101014002076101,NGO,NGO,NO,,,,,,,,,,
32,0101014002076101,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
33,0101014002076101,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
34,0101014002076101,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
35,0101014002076201,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
36,0101014002076201,NGO,NGO,NO,,,,,,,,,,
37,0101014002076201,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
38,0101014002076201,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
39,0101014002076201,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
40,0102003003000401,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
41,0102003003000401,NGO,NGO,NO,,,,,,,,,,
42,0102003003000401,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
43,0102003003000401,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
44,0102003003000401,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
45,0102003003002201,GOVERNMENT EXTENSION,SERIKALI,YES,YES,NO,NO,NO,YES,YES,GOOD,NO,,2.0
46,0102003003002201,NGO,NGO,NO,,,,,,,,,,
47,0102003003002201,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
48,0102003003002201,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
49,0102003003002201,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
50,0102003003014001,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
51,0102003003014001,NGO,NGO,NO,,,,,,,,,,
52,0102003003014001,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
53,0102003003014001,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
54,0102003003014001,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
55,0102003003016101,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
56,0102003003016101,NGO,NGO,NO,,,,,,,,,,
57,0102003003016101,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
58,0102003003016101,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
59,0102003003016101,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
60,0102003003017401,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
61,0102003003017401,NGO,NGO,NO,,,,,,,,,,
62,0102003003017401,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
63,0102003003017401,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
64,0102003003017401,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
65,0102003003020001,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
66,0102003003020001,NGO,NGO,NO,,,,,,,,,,
67,0102003003020001,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
68,0102003003020001,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
69,0102003003020001,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
70,0102003003043001,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
71,0102003003043001,NGO,NGO,NO,,,,,,,,,,
72,0102003003043001,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
73,0102003003043001,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,YES,YES,NO,NO,NO,YES,NO,GOOD,NO,,1.0
74,0102003003043001,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
75,0102003003047901,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
76,0102003003047901,NGO,NGO,NO,,,,,,,,,,
77,0102003003047901,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
78,0102003003047901,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
79,0102003003047901,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
80,0102017003000101,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
81,0102017003000101,NGO,NGO,NO,,,,,,,,,,
82,0102017003000101,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
83,0102017003000101,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
84,0102017003000101,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
85,0102017003000104,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
86,0102017003000104,NGO,NGO,NO,,,,,,,,,,
87,0102017003000104,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
88,0102017003000104,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
89,0102017003000104,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
90,0102017003001701,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
91,0102017003001701,NGO,NGO,NO,,,,,,,,,,
92,0102017003001701,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
93,0102017003001701,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
94,0102017003001701,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
95,0102017003002201,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
96,0102017003002201,NGO,NGO,NO,,,,,,,,,,
97,0102017003002201,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
98,0102017003002201,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
99,0102017003002201,OTHER,"NYINGINE, TAJA",YES,NO,NO,YES,NO,NO,NO,GOOD,NO,,0.0
100,0102017003004801,GOVERNMENT EXTENSION,SERIKALI,YES,NO,NO,NO,NO,YES,YES,AVERAGE,NO,,1.0
101,0102017003004801,NGO,NGO,NO,,,,,,,,,,
102,0102017003004801,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
103,0102017003004801,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
104,0102017003004801,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
105,0102017003010001,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
106,0102017003010001,NGO,NGO,NO,,,,,,,,,,
107,0102017003010001,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
108,0102017003010001,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
109,0102017003010001,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
110,0102017003024101,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
111,0102017003024101,NGO,NGO,NO,,,,,,,,,,
112,0102017003024101,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
113,0102017003024101,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
114,0102017003024101,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
115,0102017003024601,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
116,0102017003024601,NGO,NGO,NO,,,,,,,,,,
117,0102017003024601,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
118,0102017003024601,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
119,0102017003024601,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
120,0103013004016101,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
121,0103013004016101,NGO,NGO,NO,,,,,,,,,,
122,0103013004016101,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
123,0103013004016101,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
124,0103013004016101,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
125,0103013004021901,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
126,0103013004021901,NGO,NGO,NO,,,,,,,,,,
127,0103013004021901,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
128,0103013004021901,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
129,0103013004021901,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
130,0103013004025901,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
131,0103013004025901,NGO,NGO,NO,,,,,,,,,,
132,0103013004025901,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
133,0103013004025901,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
134,0103013004025901,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
135,0103013004034601,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
136,0103013004034601,NGO,NGO,NO,,,,,,,,,,
137,0103013004034601,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
138,0103013004034601,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
139,0103013004034601,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
140,0103013004046801,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
141,0103013004046801,NGO,NGO,NO,,,,,,,,,,
142,0103013004046801,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
143,0103013004046801,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
144,0103013004046801,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
145,0103013004068501,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
146,0103013004068501,NGO,NGO,NO,,,,,,,,,,
147,0103013004068501,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
