Group Name,Focus,Events URL,Notes,Contact,,,,,,,,,,,,,,,,,,,,,
DataKind,social data,datakind.org,"Main social data science for good group. HQ is midtown. Does data lunches, meetups, hackathons",,,,,,,,,,,,,,,,,,,,,,
Columbia Data Science Institute,data science training,http://www.meetup.com/Columbia-Data-Science-Institute/,Academic group focussed on training new data scientists. Has guest lecturers sometimes.,,,,,,,,,,,,,,,,,,,,,,
NYC Open Data,data science training,http://www.meetup.com/NYC-Open-Data/,"Training organisation, runs deep-tech meetups with guest speakers - see nycdatascience.com",Vivian,,,,,,,,,,,,,,,,,,,,,
METIS,data science training,http://www.thisismetis.com/events/new-york-city,"Training organisation, midtown. Runs meet-and-greets between students and data scientists",,,,,,,,,,,,,,,,,,,,,,
BetaNYC,open data,http://www.meetup.com/betanyc/,Open data volunteer group for New York City. Does social data science.,Noneck Hidalgo,,,,,,,,,,,,,,,,,,,,,
Women in Machine Learning and Data Science,data science,http://www.meetup.com/NYC-Women-in-Machine-Learning-Data-Science/,"data science meetup, has guest speakers - does deep tech","Sinziana Eckner, sinziana@wimlds.org",,,,,,,,,,,,,,,,,,,,,
Data & Society,data policy,http://www.datasociety.net/databites/,"Midtown, lots of interesting projects, runs a weekly lunchtime session",,,,,,,,,,,,,,,,,,,,,,
Columbia Tow Center for Data Journalism,data journalism,http://towcenter.org/#/type/events,,,,,,,,,,,,,,,,,,,,,,,
Data Driven NYC,,http://www.meetup.com/NYC-Data-Business-Meetup/,Huge meetup - guest lectures. ,,,,,,,,,,,,,,,,,,,,,,
NYC Predictive Analytics,,http://www.meetup.com/NYC-Predictive-Analytics/,,,,,,,,,,,,,,,,,,,,,,,
NYC datascience,,http://www.meetup.com/NYC-Data-Science/,,,,,,,,,,,,,,,,,,,,,,,
Data Skeptics,,http://www.meetup.com/the-nyc-data-skeptics-meetup/,,,,,,,,,,,,,,,,,,,,,,,
NYC Data Wranglers,,http://www.meetup.com/NYC-Data-Wranglers/,,,,,,,,,,,,,,,,,,,,,,,
Hacks/ Hackers NYC,data journalism,http://www.meetup.com/hacks-hackers-nyc/,Focussed on data journalism,,,,,,,,,,,,,,,,,,,,,,
Data Vizualisation New York,data viz,http://www.meetup.com/DataVisualization/,,,,,,,,,,,,,,,,,,,,,,,
NY Open Statistical Programming Meetup,,http://www.meetup.com/nyhackr/,,,,,,,,,,,,,,,,,,,,,,,
